accuracies

overall	0.9653404131510038
person_musician	0.9546242774566474
person	0.9607129865405603
musician	0.9546242774566474
person_writer	0.9647990613083015
writer	0.9647990613083015
place_city	0.9765217391304348
place	0.9699658206675879
city	0.9765217391304348
place_body_of_water	0.9632203880683463
body_of_water	0.9632203880683463
person_actor	0.9537705865356834
actor	0.9537705865356834
person_politician	0.9698389458272328
politician	0.9698389458272328
place_country	0.9758254716981132
country	0.9758254716981132
place_monument	0.9644097222222222
monument	0.9644097222222222


response times

cat	raw_avg	raw_std	log_avg	log_std
person_musician	1.2035900069653311	0.8465959594364129	0.02541399359533308	0.5520735095366803
person	1.2080619933357661	0.8721407176660867	0.023645552835571636	0.5584849382707885
musician	1.2035900069653311	0.8465959594364129	0.02541399359533308	0.5520735095366803
person_writer	1.248420910706986	0.934427488873359	0.04977531771688594	0.565863658996908
writer	1.248420910706986	0.934427488873359	0.04977531771688594	0.565863658996908
place_city	1.2450001001159503	0.8635812218576469	0.05502978429168499	0.5585223347432567
place	1.2703451908806693	1.0550283519523567	0.06634806536366093	0.5619550130425199
city	1.2450001001159503	0.8635812218576469	0.05502978429168499	0.5585223347432567
place_body_of_water	1.2522612518968859	0.8736159168632734	0.06355656726728724	0.5531543113967933
body_of_water	1.2522612518968859	0.8736159168632734	0.06355656726728724	0.5531543113967933
person_actor	1.2336551847442896	0.925177021668803	0.03223779329436844	0.5770202619724766
actor	1.2336551847442896	0.925177021668803	0.03223779329436844	0.5770202619724766
person_politician	1.1463669678770017	0.7681546987078445	-0.012938024832677553	0.5361058364619787
politician	1.1463669678770017	0.7681546987078445	-0.012938024832677553	0.5361058364619787
place_country	1.2892088602594352	1.404899590086423	0.06394343720678555	0.5696926575274897
country	1.2892088602594352	1.404899590086423	0.06394343720678555	0.5696926575274897
place_monument	1.2952001787037348	0.9913025863909389	0.08279586956887404	0.566067325469174
monument	1.2952001787037348	0.9913025863909389	0.08279586956887404	0.566067325469174
response times comparisons

cats	raw t	original p	log t	log original p	corrected p	log corrected p
('person_musician', 'person')	-0.67649	0.78721	0.41629	0.86513	0.89883	0.93876
('person_musician', 'musician')	0.0	0.99101	0.0	0.95305	0.997	1.0
('person_musician', 'person_writer')	-4.16722	0.04396	-3.61104	0.05395	0.09088	0.09826
('person_musician', 'writer')	-4.16722	0.02797	-3.61104	0.06993	0.06388	0.12441
('person_musician', 'place_city')	-4.02402	0.03197	-4.43146	0.02997	0.07089	0.05955
('person_musician', 'place')	-8.61173	0.002	-9.5855	0.002	0.00764	0.0065
('person_musician', 'city')	-4.02402	0.05794	-4.43146	0.01598	0.11222	0.03705
('person_musician', 'place_body_of_water')	-4.70221	0.02398	-5.73498	0.00799	0.05917	0.02108
('person_musician', 'body_of_water')	-4.70221	0.02198	-5.73498	0.00799	0.05604	0.02108
('person_musician', 'person_actor')	-2.81999	0.14186	-1.00523	0.60539	0.22847	0.71721
('person_musician', 'actor')	-2.81999	0.15385	-1.00523	0.58142	0.24019	0.69498
('person_musician', 'person_politician')	5.8638	0.00599	5.83935	0.00799	0.01911	0.02108
('person_musician', 'politician')	5.8638	0.00799	5.83935	0.01199	0.02495	0.02958
('person_musician', 'place_country')	-6.12012	0.004	-5.68271	0.00799	0.01359	0.02108
('person_musician', 'country')	-6.12012	0.002	-5.68271	0.002	0.00764	0.0065
('person_musician', 'place_monument')	-8.25449	0.002	-8.52319	0.002	0.00764	0.0065
('person_musician', 'monument')	-8.25449	0.002	-8.52319	0.002	0.00764	0.0065
('person', 'musician')	0.67649	0.77922	-0.41629	0.84715	0.89883	0.92582
('person', 'person_writer')	-5.97254	0.01598	-6.11046	0.00999	0.04446	0.02506
('person', 'writer')	-5.97254	0.02597	-6.11046	0.01598	0.06114	0.03705
('person', 'place_city')	-5.56374	0.02797	-7.3667	0.00799	0.06388	0.02108
('person', 'place')	-10.66418	0.002	-12.63002	0.002	0.00764	0.0065
('person', 'city')	-5.56374	0.01798	-7.3667	0.00999	0.04827	0.02506
