accuracies

place_familiar	0.9861789988201585
place	0.9836436839456467
familiar	0.9889465751130464
place_famous	0.9811320754716981
famous	0.9748852732582395
person_famous	0.9686457638425617
person	0.9801749271137026
person_familiar	0.9916791479447495


response times

cat	avg	std
place_familiar	1.6155745571548965	1.747332568841256
place	1.6367396181429272	1.640785954229632
familiar	1.575532696482996	1.7883364299176403
place_famous	1.6577067757388515	1.5276380619776755
famous	1.6446844331748018	1.5602023166848984
person_famous	1.6316772934789892	1.591957452356079
person	1.5837854781757565	1.7143394977253172
person_familiar	1.5359972730570708	1.8270587106385574
response times comparisons

cats	t	original p	corrected p
('place_familiar', 'place')	-0.7943449778692522	0.4270051850146619	0.5434611445641151
('place_familiar', 'familiar')	1.4203176257360557	0.15553267541547755	0.272243221303985
('place_familiar', 'place_famous')	-1.4018499704798162	0.16098609116042778	0.272243221303985
('place_familiar', 'famous')	-1.128738927930713	0.25902309611722735	0.38171824690959816
('place_familiar', 'person_famous')	-0.5261892835494085	0.5987664829362597	0.6727598189870784
('place_familiar', 'person')	1.160953620753419	0.24567621188084546	0.38171824690959816
('place_familiar', 'person_familiar')	2.4317043734664376	0.015042572663475081	0.03829018496157294
('place', 'familiar')	2.7545681412236886	0.005881416928139756	0.01829774155421257
('place', 'place_famous')	-0.8253647156002257	0.4091755545607626	0.5434611445641151
('place', 'famous')	-0.3836487547562854	0.7012422109188732	0.7419640361885145
('place', 'person_famous')	0.196805552719353	0.843981938030632	0.843981938030632
('place', 'person')	2.4404907715374597	0.014674524718065188	0.03829018496157294
('place', 'person_familiar')	3.733492493943936	0.00018942681206678263	0.0017679835792899713
('familiar', 'place_famous')	-3.042435823491646	0.002350112472594324	0.010967191538773513
('familiar', 'famous')	-3.1872812369088637	0.0014380167409829081	0.010066117186880358
('familiar', 'person_famous')	-2.0560365874050364	0.03979342855949534	0.09285133330548913
('familiar', 'person')	-0.364530233394316	0.7154653206103533	0.7419640361885145
('familiar', 'person_familiar')	1.3875526727360465	0.16529052722027657	0.272243221303985
('place_famous', 'famous')	0.5310891247550501	0.5953635831084619	0.6727598189870784
('place_famous', 'person_famous')	0.9131716746995359	0.3611706306471619	0.5056388829060267
('place_famous', 'person')	2.8239863953366924	0.0047482527325085275	0.016618884563779846
('place_famous', 'person_familiar')	3.9573251930901816	7.623042653477902e-05	0.0010672259714869063
('famous', 'person_famous')	0.5234344460316847	0.6006784098098914	0.6727598189870784
('famous', 'person')	2.877123872709752	0.004016719189558757	0.016066876758235028
('famous', 'person_familiar')	4.156668039950643	3.244166984702415e-05	0.0009083667557166763
('person_famous', 'person')	1.808413711572014	0.07055881742300327	0.15197283752646856
('person_famous', 'person_familiar')	3.05849832062692	0.002229393306766645	0.010967191538773513
('person', 'person_familiar')	1.7252610912571473	0.08449758319839035	0.1689951663967807
