name_length	value	response_time	accuracy	coarse_category	fine_category	subject	
15	14	0.9253936000000067	1	person	musician	1	
19	11	2.9694467000003897	1	person	writer	1	
9	31	1.634410200000275	1	place	city	1	
16	33	2.4649491000000125	0	place	body_of_water	1	
6	29	1.882594700000027	1	place	city	1	
14	19	1.1844788999997036	1	person	actor	1	
12	0	1.3921003000000383	1	person	politician	1	
6	26	0.9846500000003289	1	place	country	1	
7	13	1.0890371000000414	1	person	musician	1	
13	37	1.1574744000004102	1	place	monument	1	
16	35	1.254645999999866	1	place	body_of_water	1	
5	9	4.243742300000122	1	place	country	1	
18	22	2.3142413999999008	1	person	actor	1	
9	7	1.7424197000000277	0	person	writer	1	
15	39	1.5281684999999925	1	place	monument	1	
7	23	1.2121455000001333	1	place	country	1	
11	25	1.4845310999999128	1	place	country	1	
14	21	1.9531204999998408	1	person	politician	1	
15	17	0.6908659999999145	1	person	politician	1	
23	15	1.927180700000008	1	person	musician	1	
8	28	2.4264279999997598	0	place	city	1	
4	34	2.7350831999997354	1	place	body_of_water	1	
9	16	1.920928499999718	1	person	musician	1	
5	2	1.9400206000000253	1	place	city	1	
9	4	2.583409700000175	1	place	monument	1	
17	20	1.256883700000344	1	person	actor	1	
17	27	1.398767300000145	1	person	politician	1	
13	12	3.494924699999956	1	person	writer	1	
10	36	0.7266245999999228	1	place	monument	1	
6	1	0.6823740999998336	0	person	actor	1	
13	3	1.2322277999996913	1	place	body_of_water	1	
16	10	0.9281037000000651	1	person	writer	1	
8	24	1.084906300000057	1	place	country	1	
4	30	1.1372953000000052	1	place	city	1	
6	26	1.261081199999353	1	place	country	1	
9	4	1.3709847999998601	1	place	monument	1	
5	2	1.283089600000494	1	place	city	1	
9	31	0.784956699999384	1	place	city	1	
8	28	2.016787400000794	1	place	city	1	
7	23	2.2399110999995173	1	place	country	1	
7	13	1.2535766000000876	1	person	musician	1	
12	0	0.8193146999992678	1	person	politician	1	
15	17	1.7946714999998221	1	person	politician	1	
4	30	0.842897699999412	1	place	city	1	
15	32	1.4964915999998993	1	place	body_of_water	1	
9	16	0.5899466999999277	1	person	musician	1	
13	38	0.4289828999999372	1	place	monument	1	
13	37	0.7325086999999257	1	place	monument	1	
12	8	0.8964791999997033	1	person	writer	1	
16	10	1.4047246999998606	1	person	writer	1	
16	33	0.7525003000000652	1	place	body_of_water	1	
9	5	1.039799199999834	0	person	musician	1	
17	20	2.1986410999998043	1	person	actor	1	
17	27	0.7995997999996689	1	person	politician	1	
8	6	0.9127746000003754	0	person	politician	1	
15	14	1.3573765000001004	1	person	musician	1	
6	1	0.5669045000004189	0	person	actor	1	
9	7	0.6241710000003877	0	person	writer	1	
16	35	0.6954550999998901	1	place	body_of_water	1	
6	29	1.0203873000000385	1	place	city	1	
11	25	0.8239627000002656	1	place	country	1	
19	11	0.6473219999998037	1	person	writer	1	
14	19	1.1022106999998869	1	person	actor	1	
13	3	0.5940976000001683	1	place	body_of_water	1	
11	18	0.5866737000005742	1	person	actor	1	
14	21	0.8990971000002901	1	person	politician	1	
4	34	1.4553720999992947	1	place	body_of_water	1	
13	12	0.7093826000000263	1	person	writer	1	
8	24	1.1612433000000237	1	place	country	1	
23	15	1.419730100000379	1	person	musician	1	
13	3	0.7693037000008189	1	place	body_of_water	1	
7	23	0.8187235000004875	1	place	country	1	
15	14	0.5777336999999534	1	person	musician	1	
10	36	0.842737500000112	1	place	monument	1	
15	17	0.9854492000004029	1	person	politician	1	
17	27	1.089780399999654	1	person	politician	1	
11	18	2.10214409999935	1	person	actor	1	
13	38	1.2027392999998483	1	place	monument	1	
17	20	0.8504534000003332	1	person	actor	1	
15	39	0.8321642999999312	1	place	monument	1	
14	19	0.6710979000008592	1	person	actor	1	
6	26	0.7724754999999277	1	place	country	1	
16	33	0.7577939000002516	1	place	body_of_water	1	
18	22	0.7434044999999969	1	person	actor	1	
16	35	0.6978282000000036	1	place	body_of_water	1	
4	34	0.8463730000003125	1	place	body_of_water	1	
9	4	2.0296893000004275	0	place	monument	1	
5	2	3.117331800000102	1	place	city	1	
12	8	1.3758109000000331	1	person	writer	1	
8	28	0.9696903000003658	1	place	city	1	
13	37	1.1868353999998362	1	place	monument	1	
19	11	2.7071470000000772	1	person	writer	1	
14	21	2.358914399999776	1	person	politician	1	
23	15	0.8893545999999333	1	person	musician	1	
9	16	0.45383180000044376	1	person	musician	1	
6	29	0.7085251000007702	1	place	city	1	
15	32	0.8885078000002977	1	place	body_of_water	1	
11	25	1.2690760000004957	1	place	country	1	
9	7	0.610069499999554	0	person	writer	1	
8	6	0.3777655000003506	0	person	politician	1	
9	5	0.2983134999994945	0	person	musician	1	
12	0	0.5434486000003744	1	person	politician	1	
8	24	0.3299956000000748	1	place	country	1	
5	9	0.9738729000000603	1	place	country	1	
6	1	1.9589329000000362	0	person	actor	1	
13	12	2.568682699999954	1	person	writer	1	
7	13	1.0263107999999193	1	person	musician	1	
4	30	0.7935631999998805	1	place	city	1	
16	10	1.289929800000209	1	person	writer	1	
9	31	1.286662399999841	1	place	city	1	
4	30	1.941864300000816	1	place	city	1	
17	20	0.9042313999998441	1	person	actor	1	
14	21	0.9313355999993291	1	person	politician	1	
15	32	0.4952368000003844	1	place	body_of_water	1	
13	37	0.8603954000000158	1	place	monument	1	
5	2	0.42617950000021665	1	place	city	1	
8	24	1.6084164999992936	1	place	country	1	
16	33	2.0602177999999185	1	place	body_of_water	1	
6	26	1.3217443000003186	1	place	country	1	
9	16	0.8689457999998922	1	person	musician	1	
7	13	0.6101890999998432	1	person	musician	1	
6	29	1.5778274000003876	1	place	city	1	
13	12	0.5710126000003584	1	person	writer	1	
9	4	1.2200765000006868	1	place	monument	1	
10	36	1.0113879999998971	1	place	monument	1	
12	0	1.1797385999998369	1	person	politician	1	
16	35	1.4055122999998275	1	place	body_of_water	1	
9	5	1.509427400000277	0	person	musician	1	
9	7	0.6497268000002805	0	person	writer	1	
7	23	1.312994500000059	1	place	country	1	
8	28	0.7812885000003007	1	place	city	1	
6	1	0.9108341000001019	0	person	actor	1	
17	27	0.7467749000006734	1	person	politician	1	
23	15	1.550087299999177	1	person	musician	1	
19	11	0.8318488000004436	0	person	writer	1	
18	22	0.7358680000006643	1	person	actor	1	
9	31	0.8022737000001143	1	place	city	1	
8	6	0.6899548999999752	0	person	politician	1	
15	39	1.0624215999996522	1	place	monument	1	
4	34	1.0688368999999511	1	place	body_of_water	1	
13	38	0.9931344000005993	1	place	monument	1	
11	25	1.513687600000594	1	place	country	1	
15	14	0.9418181999999433	1	person	musician	1	
16	10	0.6647339000001011	1	person	writer	1	
5	9	0.9912469000000783	1	place	country	1	
12	8	0.5036495000003924	1	person	writer	1	
14	19	0.6434414000004836	1	person	actor	1	
13	3	1.0971935999996276	1	place	body_of_water	1	
11	18	0.7184562000002188	1	person	actor	1	
8	28	0.7823723999999856	1	place	city	1	
11	18	1.0073683000000528	1	person	actor	1	
14	19	0.8872203999999329	1	person	actor	1	
8	6	0.579732199999853	0	person	politician	1	
5	2	0.3334210000002713	1	place	city	1	
17	20	0.8319590000000971	1	person	actor	1	
5	9	1.5989440000003015	1	place	country	1	
13	37	1.2162337999998272	1	place	monument	1	
6	29	0.41668750000008004	1	place	city	1	
10	36	1.5031083000003491	1	place	monument	1	
4	34	0.6909359000001132	1	place	body_of_water	1	
13	3	1.1746516000002885	1	place	body_of_water	1	
9	4	0.7118781999997736	1	place	monument	1	
7	13	1.0203849999998056	1	person	musician	1	
18	22	0.9314424999993207	1	person	actor	1	
17	27	1.1192606000004162	1	person	politician	1	
9	31	0.8343641000001298	1	place	city	1	
15	17	2.5610121000008803	1	person	politician	1	
13	38	1.7385932000006505	1	place	monument	1	
9	7	1.3169379000000845	0	person	writer	1	
11	25	1.520203400000355	1	place	country	1	
19	11	0.9154635999993843	1	person	writer	1	
16	33	1.2643514000001232	1	place	body_of_water	1	
23	15	0.6707567999992534	0	person	musician	1	
15	39	1.4111227000003055	1	place	monument	1	
15	32	1.0198394000008193	1	place	body_of_water	1	
9	5	0.4989691999999195	0	person	musician	1	
9	16	0.7201163999998244	1	person	musician	1	
6	1	0.7391199000003326	0	person	actor	1	
16	10	1.045474500000637	1	person	writer	1	
12	8	0.42590130000007775	1	person	writer	1	
16	35	0.8570151000003534	1	place	body_of_water	1	
12	0	0.6309683999998015	1	person	politician	1	
6	26	2.061013199999252	1	place	country	1	
4	30	0.6364112000001114	1	place	city	1	
7	23	0.7549731000008251	1	place	country	1	
13	12	1.6367546000001312	1	person	writer	1	
15	14	1.0102190000006885	1	person	musician	1	
8	24	0.9703440000002956	1	place	country	1	
6	1	0.4678628000001481	0	person	actor	1	
9	4	0.3690805999995064	1	place	monument	1	
5	2	0.5455024000002595	1	place	city	1	
8	6	0.7487694000001284	0	person	politician	1	
15	39	1.3918921000004048	1	place	monument	1	
19	11	2.3604238999996596	1	person	writer	1	
6	26	0.6660922999999457	1	place	country	1	
4	30	0.9285621999997602	1	place	city	1	
4	34	1.1483782999994219	1	place	body_of_water	1	
5	9	1.423655499999768	1	place	country	1	
7	23	0.790629799999806	1	place	country	1	
13	38	0.9502353999996558	1	place	monument	1	
13	37	1.1522856000001411	1	place	monument	1	
6	29	0.7380309999998644	1	place	city	1	
14	19	0.7563546999999744	1	person	actor	1	
9	31	1.0941315000000031	1	place	city	1	
12	0	0.6827144999997472	1	person	politician	1	
16	33	1.1365089000000808	1	place	body_of_water	1	
16	10	0.9789756000000125	1	person	writer	1	
15	32	0.8439667000002373	1	place	body_of_water	1	
10	36	0.4745904999999766	1	place	monument	1	
23	15	0.919871900000544	1	person	musician	1	
11	18	0.8348121999997602	1	person	actor	1	
9	5	0.41725339999993594	0	person	musician	1	
9	16	0.9124019999999291	1	person	musician	1	
14	21	1.8529723999999987	1	person	politician	1	
15	17	0.753944600000068	1	person	politician	1	
17	27	0.8839523000006011	1	person	politician	1	
8	24	0.8323102000003928	1	place	country	1	
18	22	0.7521248000002743	1	person	actor	1	
13	3	0.3859446999995271	1	place	body_of_water	1	
17	20	1.4744202000001678	1	person	actor	1	
7	13	0.7914763999997376	1	person	musician	1	
13	12	1.1281032000006235	1	person	writer	1	
9	7	0.41108989999975165	0	person	writer	1	
8	28	0.6022675999993226	1	place	city	1	
16	35	0.6581934000005276	1	place	body_of_water	1	
11	25	0.8080799999997907	1	place	country	1	
15	14	1.1943225999993956	1	person	musician	1	
14	19	0.6111695999998119	1	person	actor	1	
6	29	1.0036835999999312	1	place	city	1	
6	26	0.7554570000002059	1	place	country	1	
15	39	0.7573131999997713	1	place	monument	1	
7	23	0.6469490999998015	1	place	country	1	
16	35	0.6387735999996949	1	place	body_of_water	1	
4	34	0.5972912000006545	1	place	body_of_water	1	
9	16	0.7505087999998068	1	person	musician	1	
13	38	0.8803186999994068	1	place	monument	1	
8	6	0.7501712000002954	0	person	politician	1	
15	32	0.8787348000005295	1	place	body_of_water	1	
13	3	0.39704280000023573	1	place	body_of_water	1	
19	11	0.942101200000252	1	person	writer	1	
9	31	0.9367045999997572	1	place	city	1	
6	1	0.43501110000033805	0	person	actor	1	
23	15	0.9616843000003428	1	person	musician	1	
8	28	0.700175400000262	1	place	city	1	
16	33	0.9279898000004323	1	place	body_of_water	1	
7	13	0.6996125999994547	1	person	musician	1	
13	12	0.8008696999995664	1	person	writer	1	
15	14	0.6886813999999504	1	person	musician	1	
11	18	1.157045900000412	1	person	actor	1	
9	7	0.6788779999997132	0	person	writer	1	
17	27	0.4926887000001443	1	person	politician	1	
16	10	1.1131538999998156	1	person	writer	1	
8	24	0.9896822999999131	1	place	country	1	
4	30	0.8863166999999521	1	place	city	1	
13	37	0.8658319999995001	1	place	monument	1	
5	2	0.38395539999964967	1	place	city	1	
18	22	1.0729894000005515	1	person	actor	1	
9	4	0.7740168000000267	1	place	monument	1	
5	9	0.6952147000001787	1	place	country	1	
14	21	1.6594881999999416	1	person	politician	1	
11	25	0.8414844000008088	1	place	country	1	
12	8	1.4798381000000518	1	person	writer	1	
9	5	0.7336252000004606	0	person	musician	1	
15	17	0.688054799999918	1	person	politician	1	
12	0	0.6605195000001913	1	person	politician	1	
10	36	0.473642199999631	1	place	monument	1	
17	20	2.1988210999998046	1	person	actor	1	
4	30	0.5837574000006498	1	place	city	1	
7	13	1.0622104000003674	1	person	musician	1	
17	27	0.7156679999998232	1	person	politician	1	
12	0	0.4965543999996953	1	person	politician	1	
23	15	0.5738748000003397	1	person	musician	1	
5	2	0.39002150000033	0	place	city	1	
9	16	0.9186623999994481	1	person	musician	1	
9	4	0.5137681999995038	1	place	monument	1	
16	33	1.0062568000003012	1	place	body_of_water	1	
9	5	0.6141035999999076	0	person	musician	1	
8	24	0.6057238000003053	1	place	country	1	
17	20	0.9178584999999657	1	person	actor	1	
6	26	1.0081514000003153	1	place	country	1	
4	34	0.4711662999998225	1	place	body_of_water	1	
13	37	1.3166401999997106	1	place	monument	1	
8	28	0.7836992000002283	1	place	city	1	
13	38	1.3602007999998023	1	place	monument	1	
6	29	1.7060200999994777	1	place	city	1	
7	23	1.1713363999997455	1	place	country	1	
10	36	0.6605036000000837	1	place	monument	1	
5	9	0.3785829999997077	1	place	country	1	
8	6	0.5241632999996	0	person	politician	1	
11	25	0.9033220000001165	1	place	country	1	
15	17	0.7101304999996501	1	person	politician	1	
13	3	0.4100773999998637	1	place	body_of_water	1	
19	11	1.0179668999999194	1	person	writer	1	
16	35	0.5769989000000351	1	place	body_of_water	1	
15	14	0.698236100000031	1	person	musician	1	
9	31	0.847056600000542	1	place	city	1	
12	8	0.6065037999997003	1	person	writer	1	
16	10	0.8222300000006726	1	person	writer	1	
9	7	0.7726972999998907	0	person	writer	1	
15	32	1.0610220000007757	1	place	body_of_water	1	
14	19	0.779649199999767	1	person	actor	1	
11	18	0.7654066000004605	1	person	actor	1	
6	1	0.4160327999998117	0	person	actor	1	
13	12	0.8805639000001975	1	person	writer	1	
4	30	1.013358999999582	1	place	city	1	
17	27	0.6209223000005295	1	person	politician	1	
8	6	0.4510581999993519	0	person	politician	1	
13	38	0.8179838000005475	1	place	monument	1	
7	23	0.7372664000004079	1	place	country	1	
17	20	1.4916488999997455	1	person	actor	1	
11	18	0.6962612999996054	1	person	actor	1	
9	4	0.3813669999999547	1	place	monument	1	
12	0	1.0231352999999217	1	person	politician	1	
9	31	0.9333805999995093	1	place	city	1	
16	33	1.040157100000215	1	place	body_of_water	1	
16	35	0.5823990000008052	1	place	body_of_water	1	
13	3	0.7364292000002024	1	place	body_of_water	1	
6	26	1.0748811000003116	1	place	country	1	
18	22	0.7919919999994818	1	person	actor	1	
14	19	0.3444303000005675	0	person	actor	1	
12	8	1.0675068000000465	1	person	writer	1	
7	13	0.8648201999994853	1	person	musician	1	
8	28	0.8150691000000734	1	place	city	1	
16	10	0.6716301999995267	1	person	writer	1	
5	2	1.6367704999993293	1	place	city	1	
15	32	0.6752432000002955	1	place	body_of_water	1	
6	1	0.35932859999957145	0	person	actor	1	
9	16	1.0816272000001845	1	person	musician	1	
19	11	1.6798845000002984	1	person	writer	1	
6	29	0.6697676999992836	1	place	city	1	
8	24	1.1707812000004196	1	place	country	1	
13	37	0.7720988999999463	1	place	monument	1	
15	14	1.1731548999996448	1	person	musician	1	
23	15	1.669205399999555	1	person	musician	1	
10	36	1.121468399999685	1	place	monument	1	
5	9	2.1331288999999742	1	place	country	1	
11	25	1.9689555000004475	1	place	country	1	
15	17	1.3610803000001397	1	person	politician	1	
13	12	0.7957564999996976	1	person	writer	1	
4	34	0.7648533999999927	1	place	body_of_water	1	
9	7	0.5754330999998274	0	person	writer	1	
9	5	1.0965325999995912	0	person	musician	1	
15	39	0.7816143000000011	1	place	monument	1	
14	21	1.0554173999998966	1	person	politician	1	
7	23	0.7455321999996158	1	place	country	1	
13	37	0.42865789999996196	1	place	monument	1	
15	39	1.6766176999999516	1	place	monument	1	
15	32	0.6007135999998354	1	place	body_of_water	1	
9	16	0.7047237999995559	1	person	musician	1	
6	29	0.692488499999854	1	place	city	1	
6	26	0.9369522999995752	0	place	country	1	
9	4	1.2195932000004177	1	place	monument	1	
4	30	0.6746119999997973	1	place	city	1	
16	35	1.255534699999771	1	place	body_of_water	1	
7	13	0.5661685999994006	1	person	musician	1	
19	11	1.0239808000005723	1	person	writer	1	
14	21	0.7111307000004672	1	person	politician	1	
15	14	1.0836526000002777	1	person	musician	1	
9	31	0.8641477000001032	1	place	city	1	
5	2	0.43059509999966394	1	place	city	1	
14	19	0.8303022000000055	1	person	actor	1	
8	28	1.8061242000003404	0	place	city	1	
12	8	1.2693222999996578	1	person	writer	1	
9	5	0.48287189999973634	0	person	musician	1	
10	36	0.5768539000000601	1	place	monument	1	
5	9	0.3460000000004584	1	place	country	1	
11	18	1.5810946999999942	1	person	actor	1	
17	20	0.6425392999999531	1	person	actor	1	
12	0	0.7932123000000502	1	person	politician	1	
13	3	0.40960699999959616	1	place	body_of_water	1	
13	38	1.033102900000813	1	place	monument	1	
17	27	0.8321030999995855	1	person	politician	1	
15	17	1.1037642999999662	1	person	politician	1	
8	6	0.32287759999962873	0	person	politician	1	
6	1	0.5026113999992958	0	person	actor	1	
8	24	1.026567900000373	1	place	country	1	
16	33	0.8474093000004359	1	place	body_of_water	1	
13	12	1.326304400000481	1	person	writer	1	
23	15	1.417680699999437	1	person	musician	1	
11	25	0.8805381000001944	1	place	country	1	
4	34	0.6224922999999762	1	place	body_of_water	1	
8	28	0.6539718000003631	1	place	city	1	
8	24	1.7797918000005666	1	place	country	1	
15	32	1.5806517999999414	1	place	body_of_water	1	
13	3	1.6771608999997625	1	place	body_of_water	1	
16	35	0.987856799999463	1	place	body_of_water	1	
13	12	1.139386600000762	1	person	writer	1	
15	17	0.8858764000005976	1	person	politician	1	
12	0	1.218351900000016	1	person	politician	1	
11	25	1.232788100000107	1	place	country	1	
23	15	0.7685584999999264	1	person	musician	1	
9	5	0.4816750999998476	0	person	musician	1	
16	33	1.279785599999741	1	place	body_of_water	1	
5	9	0.44523109999954613	1	place	country	1	
17	20	1.2445844999992914	1	person	actor	1	
9	7	0.42752680000012333	0	person	writer	1	
7	13	1.0186894999997094	1	person	musician	1	
7	23	1.121840799999518	1	place	country	1	
18	22	0.7730264000001625	1	person	actor	1	
9	4	0.42218030000003637	1	place	monument	1	
15	39	0.6138732999997956	1	place	monument	1	
10	36	0.9584783000000243	1	place	monument	1	
11	18	1.3043032999994466	1	person	actor	1	
19	11	0.7401308999997127	1	person	writer	1	
12	8	0.6304939999999988	1	person	writer	1	
16	10	0.6383465999997497	1	person	writer	1	
13	37	1.0768442999997205	1	place	monument	1	
15	14	1.465831900000012	1	person	musician	1	
13	38	0.7202677999994194	1	place	monument	1	
4	30	0.8834996000005049	1	place	city	1	
9	31	1.6320482000000993	1	place	city	1	
17	27	0.527680600000167	0	person	politician	1	
9	16	0.8269798000001174	1	person	musician	1	
14	19	1.7381648000000496	1	person	actor	1	
5	2	0.4043461000001116	1	place	city	1	
14	21	1.1243955999998434	1	person	politician	1	
6	26	2.0080606000001353	1	place	country	1	
4	34	0.8397743999994418	1	place	body_of_water	1	
8	6	1.0302675000002637	0	person	politician	1	
6	1	0.7179345000004105	0	person	actor	1	
6	29	0.5611397000002398	1	place	city	1	
11	25	1.1433718999996927	1	place	country	1	
7	13	0.5377366000002439	1	person	musician	1	
13	3	0.6434061999998448	1	place	body_of_water	1	
5	2	0.4253734000003533	1	place	city	1	
15	17	0.6804716999995435	1	person	politician	1	
8	6	0.7983495000007679	0	person	politician	1	
9	7	0.6394930999995267	0	person	writer	1	
5	9	0.34206839999933436	1	place	country	1	
13	12	0.9685066000001825	1	person	writer	1	
15	39	2.032799800000248	1	place	monument	1	
6	29	0.5126436999998987	1	place	city	1	
13	38	1.2772484999995868	1	place	monument	1	
15	14	0.6982881000003545	1	person	musician	1	
14	21	0.46338379999997414	1	person	politician	1	
14	19	1.1171453000006295	1	person	actor	1	
9	16	1.1516818000000058	0	person	musician	1	
8	24	0.8814827999995032	1	place	country	1	
12	0	0.7992549999999028	1	person	politician	1	
9	31	0.9604684999994788	1	place	city	1	
16	35	1.3861984000004668	1	place	body_of_water	1	
23	15	0.481436300000496	1	person	musician	1	
12	8	0.9910484000001816	1	person	writer	1	
10	36	1.0477160000000367	1	place	monument	1	
6	26	2.7667327999997724	0	place	country	1	
6	1	0.3838221000005433	0	person	actor	1	
11	18	0.6083390999992844	1	person	actor	1	
4	30	1.1441817999993873	1	place	city	1	
17	27	0.7146242999997412	1	person	politician	1	
16	33	0.654945499999485	1	place	body_of_water	1	
9	5	1.0928514000006544	0	person	musician	1	
15	32	0.5852067999994688	1	place	body_of_water	1	
9	4	0.36967530000038096	1	place	monument	1	
8	28	1.6989622000000963	1	place	city	1	
16	10	0.6238671000000977	1	person	writer	1	
4	34	0.8232017000000269	1	place	body_of_water	1	
18	22	0.8863747000004878	1	person	actor	1	
17	20	1.9226368999998158	0	person	actor	1	
7	23	0.7417083000000275	1	place	country	1	
13	37	1.0961682000006476	1	place	monument	1	
19	11	0.8293529000002309	1	person	writer	1	
12	0	0.7596266000000469	1	person	politician	1	
4	34	0.5853995000006762	1	place	body_of_water	1	
17	27	0.8658856000001833	1	person	politician	1	
7	23	0.8026964999999109	1	place	country	1	
13	37	0.7386865999997099	1	place	monument	1	
9	5	0.5649033000008785	0	person	musician	1	
9	7	0.7194484000001466	0	person	writer	1	
5	2	0.9778179999993881	1	place	city	1	
15	32	1.5798008000001573	1	place	body_of_water	1	
8	28	0.9896881999993639	1	place	city	1	
15	39	0.7259409000007508	1	place	monument	1	
9	4	0.6003865000002406	1	place	monument	1	
7	13	0.7836268000000928	1	person	musician	1	
11	25	0.8481509000002916	1	place	country	1	
4	30	1.5512017000000924	0	place	city	1	
13	12	0.5929815999998027	1	person	writer	1	
13	38	0.4257508000000598	1	place	monument	1	
15	17	0.888846700000613	1	person	politician	1	
16	35	0.6611401000000114	1	place	body_of_water	1	
9	31	0.5717854000004081	1	place	city	1	
