name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
13	10	1.7807315999998536	1	1	1	1	
16	17	1.2478363000009267	1	1	-1	1	
13	18	1.18502300000182	1	1	1	1	
14	8	1.9874776999968162	1	-1	-1	1	
10	11	1.8298440999969898	1	1	-1	1	
14	13	1.358868999999686	1	1	-1	1	
17	30	1.035331099999894	0	-1	1	1	
15	2	1.7494120000010298	1	-1	-1	1	
15	16	1.3667415999989316	1	1	-1	1	
17	31	1.0898563000009744	1	-1	1	1	
20	22	1.3043995000007271	1	1	1	1	
14	6	2.198004400001082	1	-1	-1	1	
10	20	7.4879204999997455	1	1	1	1	
12	28	0.9023081000013917	1	-1	1	1	
15	19	1.9731724999983271	1	1	1	1	
19	14	1.0319722999993246	1	1	-1	1	
8	12	0.8181593000008434	1	1	-1	1	
13	3	1.8760357000028307	0	-1	-1	1	
6	21	3.163060200000473	1	1	1	1	
7	9	2.206454900002427	1	1	-1	1	
15	15	1.2720910999996704	1	1	-1	1	
15	25	5.4800852999978815	1	-1	1	1	
13	29	0.8629083999985596	1	-1	1	1	
12	4	1.2468770999985281	1	-1	-1	1	
12	1	1.0077864000013506	1	-1	-1	1	
18	7	1.8339015000019572	1	-1	-1	1	
15	23	1.3302022999996552	1	1	1	1	
4	24	0.8001666999989538	1	1	1	1	
15	5	1.185872300000483	1	-1	-1	1	
18	26	0.7410125999995216	1	-1	1	1	
16	27	0.9366991999995662	1	-1	1	1	
15	19	1.0530982000018412	1	1	1	1	
17	31	1.0614836000022478	1	-1	1	1	
13	29	0.8939058000032674	1	-1	1	1	
15	25	0.8754070000031788	1	-1	1	1	
17	30	0.8116317999993043	1	-1	1	1	
16	17	1.2772298000018054	1	1	-1	1	
16	27	1.2290882999986934	1	-1	1	1	
10	11	0.8461542000004556	1	1	-1	1	
15	5	1.006025899998349	1	-1	-1	1	
18	26	0.999569600000541	1	-1	1	1	
12	4	1.4108822000016517	0	-1	-1	1	
13	18	0.7804598000002443	1	1	1	1	
19	14	0.7844804000014847	1	1	-1	1	
15	15	0.7717349999984435	1	1	-1	1	
10	20	0.6629012000012153	1	1	1	1	
15	16	0.9746906000000308	1	1	-1	1	
8	12	1.2096309999978985	1	1	-1	1	
12	28	0.9240164000002551	1	-1	1	1	
14	13	1.0171664000008604	1	1	-1	1	
12	1	1.6663690000023053	1	-1	-1	1	
6	21	1.3789151999990281	1	1	1	1	
13	3	1.2004310000011174	0	-1	-1	1	
15	2	1.198059700000158	1	-1	-1	1	
13	10	1.96888840000247	1	1	1	1	
14	8	0.9017149999999674	1	-1	-1	1	
14	6	1.284073899998475	1	-1	-1	1	
20	22	1.219252900002175	1	1	1	1	
18	7	5.283406200000172	1	-1	-1	1	
15	23	1.8904059999986202	1	1	1	1	
7	9	0.9056057000016153	1	1	-1	1	
20	22	0.7549041999991459	1	1	1	1	
15	23	1.2227115999994567	1	1	1	1	
8	12	1.3191073999987566	1	1	-1	1	
15	15	5.396303800000169	1	1	-1	1	
18	7	0.7983857999970496	1	-1	-1	1	
17	30	0.8650106000022788	1	-1	1	1	
15	2	2.0815556999987166	1	-1	-1	1	
16	17	0.6401081000003614	1	1	-1	1	
6	21	2.345083899999736	1	1	1	1	
12	28	0.8765993999986676	1	-1	1	1	
14	8	1.323816700001771	1	-1	-1	1	
4	24	1.1441214999977092	1	1	1	1	
14	13	1.4205373000004329	1	1	-1	1	
13	3	1.7018628000005265	1	-1	-1	1	
18	26	1.1261641000019154	1	-1	1	1	
15	25	0.8596778999999515	1	-1	1	1	
14	6	1.228323499999533	1	-1	-1	1	
7	9	1.8856923000021197	1	1	-1	1	
12	1	0.8847055000005639	1	-1	-1	1	
10	20	0.6904770999972243	1	1	1	1	
15	16	1.3048840000010387	1	1	-1	1	
17	31	0.8545448000004399	1	-1	1	1	
12	4	0.7584313000006659	1	-1	-1	1	
13	10	0.8580707000000984	1	1	1	1	
15	19	1.0187343000034161	1	1	1	1	
13	18	0.8517947000000277	1	1	1	1	
15	5	0.9642820000008214	1	-1	-1	1	
19	14	0.784173500000179	1	1	-1	1	
13	29	1.1864286000018183	1	-1	1	1	
