name	trigger	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Scarlett Johansson	107	5.13	1.36	6.0	6.0	6.0	6.0	4.0	4.0	6.0	6.0	5.0	1.0	6.0	5.0	6.0	5.0	5.0	5.0	6.0	6.0	6.0	3.0	5.0	5.0	6.0	6.0	4.0	6.0	1.0	6.0	6.0	6.0	
Hillary Clinton	102	5.33	1.04	6.0	6.0	4.0	6.0	6.0	5.0	6.0	6.0	5.0	1.0	6.0	5.0	4.0	6.0	4.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	
Sigmund Freud	103	5.1	1.33	6.0	5.0	3.0	6.0	6.0	5.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	6.0	3.0	6.0	6.0	2.0	5.0	6.0	6.0	2.0	4.0	6.0	6.0	6.0	2.0	5.0	6.0	6.0	
Robert De Niro	108	5.0	1.24	5.0	5.0	6.0	5.0	1.0	5.0	6.0	3.0	3.0	5.0	5.0	6.0	6.0	5.0	6.0	5.0	6.0	6.0	6.0	4.0	5.0	3.0	6.0	5.0	6.0	6.0	3.0	5.0	6.0	6.0	
Freddie Mercury	105	5.73	0.57	6.0	6.0	6.0	6.0	5.0	5.0	6.0	6.0	5.0	4.0	4.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	
Barack Obama	101	5.9	0.3	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	
Britney Spears	106	5.53	0.99	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	6.0	6.0	5.0	5.0	6.0	6.0	1.0	5.0	5.0	6.0	
J.K. Rowling	104	3.6	1.72	5.0	4.0	1.0	5.0	1.0	5.0	2.0	3.0	6.0	2.0	4.0	1.0	5.0	4.0	2.0	6.0	5.0	4.0	6.0	6.0	2.0	3.0	3.0	4.0	4.0	1.0	1.0	2.0	5.0	6.0	
Israele	109	3.97	1.66	2.0	7.0	1.0	5.0	5.0	3.0	4.0	2.0	4.0	4.0	2.0	6.0	3.0	6.0	5.0	4.0	6.0	6.0	4.0	4.0	1.0	1.0	4.0	3.0	3.0	3.0	7.0	5.0	5.0	4.0	
Muraglia Cinese	115	6.03	1.22	7.0	7.0	7.0	7.0	7.0	5.0	5.0	7.0	5.0	5.0	5.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	7.0	7.0	6.0	5.0	5.0	4.0	7.0	7.0	6.0	2.0	5.0	
New York	111	6.33	0.94	5.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	5.0	6.0	6.0	6.0	7.0	7.0	5.0	6.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	4.0	7.0	7.0	7.0	4.0	7.0	7.0	
Mar dei Caraibi	114	3.57	1.75	4.0	5.0	7.0	4.0	3.0	4.0	2.0	2.0	2.0	1.0	3.0	5.0	7.0	4.0	5.0	4.0	1.0	5.0	2.0	3.0	1.0	6.0	3.0	3.0	2.0	2.0	7.0	3.0	5.0	2.0	
Sud Africa	110	4.07	1.77	2.0	7.0	7.0	7.0	3.0	5.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	7.0	3.0	6.0	4.0	2.0	5.0	3.0	1.0	2.0	2.0	7.0	4.0	5.0	6.0	
Piramidi di Giza	116	5.13	1.93	2.0	6.0	7.0	7.0	7.0	7.0	3.0	7.0	4.0	1.0	6.0	7.0	7.0	4.0	6.0	7.0	1.0	5.0	5.0	2.0	7.0	4.0	6.0	5.0	3.0	6.0	7.0	6.0	3.0	6.0	
Rio De Janeiro	112	4.0	1.91	2.0	5.0	7.0	7.0	4.0	5.0	7.0	3.0	2.0	1.0	6.0	6.0	3.0	5.0	2.0	7.0	5.0	3.0	5.0	2.0	1.0	6.0	2.0	2.0	3.0	5.0	2.0	5.0	2.0	5.0	
Cascate del Niagara	113	5.1	1.94	3.0	7.0	7.0	7.0	3.0	3.0	6.0	4.0	2.0	7.0	6.0	7.0	7.0	7.0	2.0	7.0	6.0	5.0	5.0	5.0	7.0	7.0	2.0	2.0	5.0	6.0	7.0	5.0	1.0	5.0	
Macchu Picchu	116	4.03	1.78	3.0	5.0	7.0	5.0	7.0	5.0	3.0	3.0	2.0	1.0	2.0	7.0	5.0	3.0	6.0	6.0	3.0	2.0	6.0	3.0	2.0	3.0	1.0	4.0	4.0	7.0	4.0	4.0	3.0	5.0	
Canada	110	4.77	1.67	3.0	7.0	7.0	7.0	5.0	4.0	5.0	2.0	3.0	5.0	3.0	4.0	3.0	6.0	6.0	6.0	7.0	5.0	4.0	6.0	6.0	5.0	5.0	2.0	4.0	4.0	7.0	4.0	1.0	7.0	
